id,name,category,district,area,default,flag,hash,detection,note
1310054,GridLeak - Downtown 055,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb9895CA10-C49D-4D67-BA32-55C7446C53C6,0x56AC493B,record present with value >= 1 (any ProgressionManagerData section),
1310055,GridLeak - Downtown 056,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb9BE66D46-1C57-49DF-8DFA-4F74145DAD2E,0x746180B5,record present with value >= 1 (any ProgressionManagerData section),
1310056,GridLeak - Downtown 057,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbA0FB4FD3-2806-4242-A3F4-5C20DE624C8F,0x972011BA,record present with value >= 1 (any ProgressionManagerData section),
1310057,GridLeak - Downtown 058,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbA37D2202-B915-4E50-A798-B9A755C00A73,0xCA3D1C2A,record present with value >= 1 (any ProgressionManagerData section),
1310058,GridLeak - Downtown 059,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbA5A43701-38F7-435F-8649-0572D2E49DD1,0xAF32F638,record present with value >= 1 (any ProgressionManagerData section),
1310059,GridLeak - Downtown 060,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbAA141390-185F-42BC-B137-5EFC93879635,0x142CD963,record present with value >= 1 (any ProgressionManagerData section),
1310060,GridLeak - Downtown 061,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbAAAD4016-A39D-4208-8D9D-BEC5EB24D4F6,0x3F057A68,record present with value >= 1 (any ProgressionManagerData section),
1310061,GridLeak - Downtown 062,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbAC9BD2D8-6AA0-485D-BC6A-CC1850D7C6AF,0x0B2BCFCD,record present with value >= 1 (any ProgressionManagerData section),
1310062,GridLeak - Downtown 063,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbAF49A48A-56C0-4C2F-8AC7-BF67723B742A,0xC9CCB607,record present with value >= 1 (any ProgressionManagerData section),
1310063,GridLeak - Downtown 064,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbB22CAF7A-C37B-45FE-BB18-02BF9F4E5B61,0x27F381F8,record present with value >= 1 (any ProgressionManagerData section),
1310064,GridLeak - Downtown 065,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbB4F2ED3B-EAEC-4D73-8D94-1B9201528AE3,0xFD4863FA,record present with value >= 1 (any ProgressionManagerData section),
1310065,GridLeak - Downtown 066,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbB68F0099-EDBA-4864-B2F0-337926DA8B1C,0xED957939,record present with value >= 1 (any ProgressionManagerData section),
1310066,GridLeak - Downtown 067,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbB7A76F27-6C59-45CF-8FBF-34994EB726E1,0xD99A0CFC,record present with value >= 1 (any ProgressionManagerData section),
1310067,GridLeak - Downtown 068,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbBC78FE62-4583-4EC5-9A81-D5AC133D4293,0xFCFFF521,record present with value >= 1 (any ProgressionManagerData section),
1310068,GridLeak - Downtown 069,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbBCF6CBC7-9C52-4D33-9D25-0192B1451B95,0x87763C6A,record present with value >= 1 (any ProgressionManagerData section),
1310069,GridLeak - Downtown 070,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbC37B6622-C037-427F-B302-823ADD767468,0xF708A51C,record present with value >= 1 (any ProgressionManagerData section),
1310070,GridLeak - Downtown 071,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbC551E835-C5BC-4A12-B441-230FEB05F534,0x6EE3C1A4,record present with value >= 1 (any ProgressionManagerData section),
1310071,GridLeak - Downtown 072,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbCAE6D2E4-7612-4767-8B22-340D40F7DE68,0xE735B41B,record present with value >= 1 (any ProgressionManagerData section),
1310072,GridLeak - Downtown 073,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbCFB2D580-2A92-43ED-800A-13968885104C,0x0BC926C3,record present with value >= 1 (any ProgressionManagerData section),
1310073,GridLeak - Downtown 074,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbD41557C6-66A9-4A16-AF0B-17004AF3005A,0x74DF2770,record present with value >= 1 (any ProgressionManagerData section),
1310074,GridLeak - Downtown 075,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbE0F61330-FAB2-439A-9B2D-AC586B71A14B,0x5503D8C4,record present with value >= 1 (any ProgressionManagerData section),
1310075,GridLeak - Downtown 076,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbEA593001-4C67-4ECC-B661-F2816D7F98E1,0xB677AAAB,record present with value >= 1 (any ProgressionManagerData section),
1310076,GridLeak - Downtown 077,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbEBCE7F38-F961-4127-A0F2-50197198F080,0x3289DC6C,record present with value >= 1 (any ProgressionManagerData section),
1310077,GridLeak - Downtown 078,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbEC9B34DE-F8E0-445E-94DC-8F5D76133B4A,0x576A853C,record present with value >= 1 (any ProgressionManagerData section),
1310078,GridLeak - Downtown 079,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbEF041E09-6DB3-4895-91D1-E319A68C454E,0x62D91078,record present with value >= 1 (any ProgressionManagerData section),
1310079,GridLeak - Downtown 080,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbEF144417-EDD0-49B6-8221-892C5D691C2F,0xB8DB54D3,record present with value >= 1 (any ProgressionManagerData section),
1310080,GridLeak - Downtown 081,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbF19425BD-E4ED-4082-BAAE-04CD82438C18,0x847C8900,record present with value >= 1 (any ProgressionManagerData section),
1310081,GridLeak - Downtown 082,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbF719D55C-0EA3-4898-AFF9-0696F8BDA6CD,0x5F7C6AB3,record present with value >= 1 (any ProgressionManagerData section),
1310082,GridLeak - Downtown 083,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbF82A281E-81B5-4F72-8062-1B15E1C456C7,0xF3EEC52B,record present with value >= 1 (any ProgressionManagerData section),
1310083,GridLeak - Downtown 084,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbF88C9F37-8CED-4D2A-8691-2FBEDBB8765B,0xF95A83A6,record present with value >= 1 (any ProgressionManagerData section),
1310084,GridLeak - Downtown 085,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbF9964C77-355A-4711-B743-300E9DBEA83C,0x6FEB933F,record present with value >= 1 (any ProgressionManagerData section),
1310085,GridLeak - Downtown 086,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbFD9F0DAF-C5F8-43C9-9908-F40E22D6A72B,0x0AC9329E,record present with value >= 1 (any ProgressionManagerData section),
1310086,GridLeak - Downtown 087,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrbFE184ACF-4159-446B-AB6C-E8FD7FA7CE0A,0x3B239AC0,record present with value >= 1 (any ProgressionManagerData section),
1310087,GridLeak - Anchor 001,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb03D3A619-C32A-490B-A8BC-5C8D589954C9,0x92E8432D,record present with value >= 1 (any ProgressionManagerData section),
1310088,GridLeak - Anchor 002,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb073B405A-3217-43B5-BCCB-3265F001B80E,0x78CCCAF5,record present with value >= 1 (any ProgressionManagerData section),
1310089,GridLeak - Anchor 003,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb0958FA8C-F522-4E88-AC20-7CE43DDC6580,0x97EC28DA,record present with value >= 1 (any ProgressionManagerData section),
1310090,GridLeak - Anchor 004,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb09CFA2CC-1482-4F1B-98FC-3ABCE6DE4F0D,0x9DD52D0C,record present with value >= 1 (any ProgressionManagerData section),
1310091,GridLeak - Anchor 005,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb1152EAF5-487E-49A8-BE3C-CA869C22499E,0x673A4CD4,record present with value >= 1 (any ProgressionManagerData section),
1310092,GridLeak - Anchor 006,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb11E3C50C-A00E-493B-93CE-AC6E962ED9F3,0xCB171A38,record present with value >= 1 (any ProgressionManagerData section),
1310093,GridLeak - Anchor 007,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb1584D1B1-0AA1-4344-84A8-F27E294003A5,0xC2F476FD,record present with value >= 1 (any ProgressionManagerData section),
1310094,GridLeak - Anchor 008,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb1A3961AC-E380-4F13-B0E2-4E23ACFD0DFD,0x0C1B62EC,record present with value >= 1 (any ProgressionManagerData section),
1310095,GridLeak - Anchor 009,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb1F13A056-347F-49FA-8FE9-14F1837F2865,0x5AE19B86,record present with value >= 1 (any ProgressionManagerData section),
1310096,GridLeak - Anchor 010,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb2275BEAA-F259-4C9B-9020-65E74CE575EC,0xDDE5A196,record present with value >= 1 (any ProgressionManagerData section),
1310097,GridLeak - Anchor 011,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb2E319319-305F-4DA3-B6E4-9DE5CC35D49A,0x1316C03D,record present with value >= 1 (any ProgressionManagerData section),
1310098,GridLeak - Anchor 012,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb302C1C86-C21F-432A-88FD-028D87E0AEF0,0x8F1C9596,record present with value >= 1 (any ProgressionManagerData section),
1310099,GridLeak - Anchor 013,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb330AD451-B753-45F8-9EC0-C3FD3A84F0DF,0xF5BF7B80,record present with value >= 1 (any ProgressionManagerData section),
1310100,GridLeak - Anchor 014,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb332A7DE2-8256-44B7-A626-CC575C9759EA,0x2BD902B4,record present with value >= 1 (any ProgressionManagerData section),
1310101,GridLeak - Anchor 015,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb37CA6CBB-4C32-473F-AC81-030567E0F270,0x50602F27,record present with value >= 1 (any ProgressionManagerData section),
1310102,GridLeak - Anchor 016,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb39016CB3-370C-4DE2-9119-775C7215C12F,0x4BDBCC30,record present with value >= 1 (any ProgressionManagerData section),
1310103,GridLeak - Anchor 017,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb3DE14469-2BFE-4528-8710-B382BD1C757F,0x806193F8,record present with value >= 1 (any ProgressionManagerData section),
1310104,GridLeak - Anchor 018,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb43844F0B-063A-4BA3-9EDA-B92D9F419969,0x94308DE4,record present with value >= 1 (any ProgressionManagerData section),
1310105,GridLeak - Anchor 019,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb44FD6150-06A2-48C1-8790-B97C3E55340A,0x849ECF7C,record present with value >= 1 (any ProgressionManagerData section),
1310106,GridLeak - Anchor 020,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb45E88712-AB34-4231-9643-AA5D80255FBF,0x625E80CF,record present with value >= 1 (any ProgressionManagerData section),
1310107,GridLeak - Anchor 021,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb463BE9BB-D153-479C-B65A-6351B3DA5EBF,0x1F79885A,record present with value >= 1 (any ProgressionManagerData section),
1310108,GridLeak - Anchor 022,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb4794A660-14BF-40EC-949B-4C460644544C,0xC80A2451,record present with value >= 1 (any ProgressionManagerData section),
1310109,GridLeak - Anchor 023,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb48892BBC-EC60-40D4-8EC5-DE0E6B003A9E,0x59201433,record present with value >= 1 (any ProgressionManagerData section),
1310110,GridLeak - Anchor 024,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb4A98F094-DEBF-4050-92E3-13168338766E,0x18B8583F,record present with value >= 1 (any ProgressionManagerData section),
1310111,GridLeak - Anchor 025,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb4AD66EE8-1036-4C0F-82FD-48F06E7AAE61,0x93685FC6,record present with value >= 1 (any ProgressionManagerData section),
1310112,GridLeak - Anchor 026,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb4B0C7415-0483-4A45-AF93-4DEF36BEE581,0xD8C5A8C2,record present with value >= 1 (any ProgressionManagerData section),
1310113,GridLeak - Anchor 027,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb59948FCE-B74A-42B7-BFA4-CAA72036B7F8,0xC9D095DD,record present with value >= 1 (any ProgressionManagerData section),
1310114,GridLeak - Anchor 028,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb5BB2F9BF-1B6B-4D99-B404-90E4ADB7615F,0x78EBE59B,record present with value >= 1 (any ProgressionManagerData section),
1310115,GridLeak - Anchor 029,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb5C2D28E5-90B0-4AE3-B091-84616FC43306,0x72D9F4AC,record present with value >= 1 (any ProgressionManagerData section),
1310116,GridLeak - Anchor 030,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb5D749A23-2698-417B-A8A2-55100291746D,0x84B33110,record present with value >= 1 (any ProgressionManagerData section),
1310117,GridLeak - Anchor 031,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb6149CFC2-7E6D-407B-9904-E9A0A3035803,0xDB96B287,record present with value >= 1 (any ProgressionManagerData section),
1310118,GridLeak - Anchor 032,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb6B860D41-99E4-4F5A-98D2-9748C6EB00D5,0x0192D6F4,record present with value >= 1 (any ProgressionManagerData section),
1310119,GridLeak - Anchor 033,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb7683DAC8-7FEA-4B11-AB63-2F613B431D2F,0x9000E2CB,record present with value >= 1 (any ProgressionManagerData section),
1310120,GridLeak - Anchor 034,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb780C4EFF-C391-40E9-A4A7-BF9684C4C269,0x166CE35E,record present with value >= 1 (any ProgressionManagerData section),
1310121,GridLeak - Anchor 035,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb7876BCA5-E47D-4ACD-993F-A9E2B83F433D,0x58F75070,record present with value >= 1 (any ProgressionManagerData section),
1310122,GridLeak - Anchor 036,GridLeak,Anchor,,True,AnchorGridLeaks_AnchorCompulsionOrb792BED4E-49DB-4399-B20D-E649E3893478,0x6D1736D9,record present with value >= 1 (any ProgressionManagerData section),
